num,lon,lat,alt,x,y,z,qx,qy,qz,qw
2654,113.3918798,23.0370789,0,34.1702766418457,-28.98849868774414,114.83586120605469,-0.2118891347499955,0.6649161855180237,-0.07144712551895423,0.7126603462141963
2655,113.3918794,23.0370837,0,34.61838150024414,-28.896455764770508,114.84268951416016,-0.21198172212292338,0.6637307783018921,-0.0715447960589892,0.7137272207065118
2656,113.391879,23.0370888,0,35.07188034057617,-28.79038429260254,114.88033294677734,-0.21206915896882544,0.6614916531254836,-0.07114783657193705,0.7158166315549693
2657,113.3918787,23.0370938,0,35.56537628173828,-28.712766647338867,114.91944885253906,-0.21176948312873567,0.6596047859084193,-0.06958548542117211,0.7177973757550221
2658,113.3918782,23.0370994,0,36.017005920410156,-28.639915466308594,114.94163513183594,-0.211281759822795,0.6600192805653757,-0.06884621219107158,0.7176313582300375
2659,113.3918778,23.0371047,0,36.46975326538086,-28.573871612548828,114.94013214111328,-0.21062072640730717,0.6612963030797838,-0.06858004260672004,0.7166748822839611
2660,113.3918774,23.0371101,0,36.92835235595703,-28.4870662689209,114.96734619140625,-0.21043696493554676,0.6611097730309163,-0.06821609212656082,0.7169356432530792
2661,113.3918771,23.0371154,0,37.39563751220703,-28.405258178710938,114.97329711914062,-0.2098233194971564,0.6632717209668306,-0.06863317252385953,0.7150764199651694
2662,113.3918779,23.0371076,0,37.77272415161133,-28.320520401000977,115.01515197753906,-0.20956965708165287,0.663053356600255,-0.06838825197717038,0.7153767204231074
2663,113.3918798,23.0370871,0,37.856475830078125,-28.301069259643555,115.02472686767578,-0.2094988010728016,0.6631742301009806,-0.06838002183646104,0.7152862122903498
2664,113.3918815,23.0370676,0,37.9488525390625,-28.280698776245117,115.03343963623047,-0.20939115617878362,0.6636883024886787,-0.06847182438810252,0.7148320013253274
2665,113.3918815,23.0370723,0,38.51667785644531,-28.166288375854492,115.06295776367188,-0.20879887806674563,0.664208368674365,-0.06802085096798834,0.714565207195675
2666,113.3918817,23.0370773,0,38.904930114746094,-28.099321365356445,115.04962158203125,-0.20858481772004472,0.6649690520135871,-0.06830252448791317,0.7138930583984024
2667,113.3918815,23.0370821,0,39.48778533935547,-28.013790130615234,115.07682800292969,-0.20799037280545113,0.6638278966423723,-0.06859594731312237,0.7150993808358587
2668,113.3918836,23.0370849,0,39.795860290527344,-27.95037078857422,115.08939361572266,-0.20800736477326923,0.6647546247026689,-0.06924555296237682,0.714170342797451
2669,113.391885,23.0370883,0,40.20903778076172,-27.857574462890625,115.1124496459961,-0.20820173129101766,0.6649590088906638,-0.06931167720585273,0.7139169748545559
2670,113.3918838,23.0370972,0,40.86280822753906,-27.730161666870117,115.13278198242188,-0.20659112576919078,0.6636122705926372,-0.0678037228095652,0.7157803547496023
2671,113.3918838,23.0370972,0,40.9594612121582,-27.713525772094727,115.13056945800781,-0.20642726122243782,0.6630618393714106,-0.0674992933988748,0.7163662669223458
2672,113.391884,23.0371026,0,41.48080825805664,-27.612117767333984,115.14202117919922,-0.20569965115689487,0.6640592138370623,-0.06697762874244431,0.7157003641748925
2673,113.3918853,23.0371059,0,41.902156829833984,-27.51958656311035,115.10868072509766,-0.20626359487002782,0.6651411340448319,-0.0659391127878934,0.7146290188885374
